"date_litter","stage","weight","species","confidence"
"S","13.5",883,"ham","yes"
"S","13.5",695,"ham","yes"
"S","13.5",466,"ham","yes"
"T","13.75",891,"ham","yes"
"T","13.75",892,"ham","yes"
"T","13.75",1051,"ham","yes"
"T","13.75",1073,"ham","yes"
"T","13.75",905,"ham","yes"
"T","13.75",1169,"ham","yes"
"T","13.75",1061,"ham","yes"
"T","13.75",1116,"ham","yes"
"T","13.75",1029,"ham","yes"
"T","13.75",1059,"ham","yes"
"T","13.75",1138,"ham","yes"
"U",14,1352,"ham","yes"
"U",14,1208,"ham","yes"
"U",14,1247,"ham","yes"
"U",14,928,"ham","yes"
"U",14,948,"ham","yes"
"U",14,1151,"ham","yes"
"U",14,1177,"ham","yes"
"U",14,1045,"ham","yes"
"U",14,695,"ham","yes"
"U",14,1105,"ham","yes"
"U",14,1110,"ham","yes"
"U",14,1117,"ham","yes"
"U",14,1125,"ham","yes"
"V",14,1093,"ham","yes"
"V",14,1035,"ham","yes"
"V",14,1074,"ham","yes"
"V",14,1048,"ham","yes"
"V",14,1064,"ham","yes"
"V",14,1105,"ham","yes"
"V",14,1117,"ham","yes"
"V",14,1087,"ham","yes"
"V",14,895,"ham","yes"
"V",14,915,"ham","yes"
"V",14,702,"ham","yes"
"W",14,1093,"ham","yes"
"W",14,1035,"ham","yes"
"W",14,1074,"ham","yes"
"W",14,1048,"ham","yes"
"W",14,1064,"ham","yes"
"W",14,1105,"ham","yes"
"W",14,1117,"ham","yes"
"W",14,1087,"ham","yes"
"W",14,895,"ham","yes"
"W",14,915,"ham","yes"
"W",14,702,"ham","yes"
"X","14.5",1852,"ham","yes"
"X","14.5",1538,"ham","yes"
"X","14.5",1387,"ham","yes"
"X","14.5",1485,"ham","yes"
"X","14.5",1498,"ham","yes"
"X","14.5",1614,"ham","yes"
"X","14.5",1610,"ham","yes"
"X","14.5",1788,"ham","yes"
"X","14.5",1571,"ham","yes"
"X","14.5",1556,"ham","yes"
"X","14.5",1043,"ham","yes"
"Y","14.5",1692,"ham","yes"
"Y","14.5",1539,"ham","yes"
"Y","14.5",1510,"ham","yes"
"Y","14.5",1512,"ham","yes"
"Y","14.5",1539,"ham","yes"
"Y","14.5",1654,"ham","yes"
"Y","14.5",1609,"ham","yes"
"Y","14.5",1842,"ham","yes"
"Y","14.5",1895,"ham","yes"
"Y","14.5",1917,"ham","yes"
"Z","14.5",975,"ham","yes"
"Z","14.5",968,"ham","yes"
"Z","14.5",1176,"ham","yes"
"Z","14.5",1218,"ham","yes"
"Z","14.5",1423,"ham","yes"
"AA","14.5",1670,"ham","yes"
"AA","14.5",1667,"ham","yes"
"AA","14.5",1651,"ham","yes"
"AA","14.5",1945,"ham","yes"
"AA","14.5",1625,"ham","yes"
"AA","14.5",1734,"ham","yes"
"AA","14.5",2039,"ham","yes"
"AA","14.5",1306,"ham","yes"
"AA","14.5",1598,"ham","yes"
"AA","14.5",1710,"ham","yes"
"AA","14.5",1589,"ham","yes"
"AA","14.5",1535,"ham","yes"
"AA","14.5",1436,"ham","yes"
"AA","14.5",1528,"ham","yes"
"AB",15,1942,"ham","yes"
"AB",15,2055,"ham","yes"
"AB",15,2033,"ham","yes"
"AB",15,2093,"ham","yes"
"AB",15,1732,"ham","yes"
"AB",15,1745,"ham","yes"
"AB",15,1770,"ham","yes"
"AB",15,1810,"ham","yes"
"AB",15,1827,"ham","yes"
"AB",15,1850,"ham","yes"
"AB",15,2238,"ham","yes"
"AB",15,1659,"ham","yes"
"AB",15,1256,"ham","yes"
"06/11/2013","13.5",133,"mus","medium"
"13/11/2013","13.5",145,"mus","medium"
"13/11/2013","13.5",149,"mus","medium"
"06/11/2013","13.5",147,"mus","medium"
"06/11/2013","13.5",150,"mus","medium"
"13/11/2013","13.5",155,"mus","medium"
"13/11/2013","13.5",158,"mus","medium"
"06/11/2013","13.5",160,"mus","medium"
"06/11/2013","13.5",164,"mus","medium"
"13/11/2013","13.5",168,"mus","medium"
"13/11/2013","13.5",172,"mus","medium"
"07/11/2013","14.5",241,"mus","medium"
