,Regulator,Target,Perturbation,Effect,Stage,Tissue.Reg,Tissue.Target,Additional Perturbation,Year,Reference
MES MES negative target,Gsk3b,Trp63,-,-,E10,Mes,Mes,,2011,This study
MES MES positive target,Gsk3b,Twist1,-,+,E10,Mes,Mes,,2011,This study
MES MES positive target,Gsk3b,Wif1,-,+,E10,Mes,Mes,,2011,This study
EPI EPI positive target,Ctnnb1,Wnt10a,+,+,E14,Epi,Epi,,2011,This study
EPI EPI negative target,Gsk3b,Wnt10a,-,-,E13,Epi,Epi,,2011,This study
EPI EPI positive target,Ctnnb1,Wnt10b,+,+,E14,Epi,Epi,,2006,"Järvinen E, Salazar-Ciudad I, Birchmeier W, Taketo MM, Jernvall J, Thesleff I. Continuous tooth generation in mouse is induced by activated epithelial Wnt/beta-catenin signaling. PNAS 2006 vol. 103 (49) pp. 18627-32"
EPI EPI positive target,Ctnnb1,Wnt10b,+,+,E14,Epi,Epi,,2011,This study
EPI EPI negative target,Ctnnb1,Wnt3a,+,-,E14,Epi,Epi,,2011,This study
EPI EPI negative target,Gsk3b,Wnt3a,-,-,E13,Epi,Epi,,2011,This study
EPI EPI negative target,Gsk3b,Wnt4,-,-,E13,Epi,Epi,,2011,This study
MES MES positive target,Gsk3b,Wnt5a,-,+,E10,Mes,Mes,,2011,This study
MES MES positive target,Gsk3b,Wnt5b,-,+,E10,Mes,Mes,,2011,This study
EPI EPI positive target,Ctnnb1,Wnt6,+,+,E14,Epi,Epi,,2011,This study
EPI EPI positive target,Ctnnb1,Wnt6,+,+,E14,Epi,Epi,,2011,This study
EPI EPI negative target,Gsk3b,Wnt7b,-,-,E13,Epi,Epi,,2011,This study
