"date_litter" "stage" "weight" "species" "confidence"
"201" "13/02/2012" 14 227 "mus" "yes"
"202" "13/02/2012" 14 223 "mus" "yes"
"203" "13/02/2012" 14 227 "mus" "yes"
"204" "13/02/2012" 14 215 "mus" "yes"
"205" "13/02/2012" 14 218 "mus" "yes"
"206" "13/02/2012" 14 213 "mus" "yes"
"207" "13/02/2012" 14 216 "mus" "yes"
"208" "27/10/2009" 14 213 "mus" "yes"
"209" "27/10/2009" 14 218 "mus" "yes"
"210" "27/10/2009" 14 212 "mus" "yes"
"211" "27/10/2009" 14 214 "mus" "yes"
"212" "27/10/2009" 14 226 "mus" "yes"
"213" "27/10/2009" 14 222 "mus" "yes"
"214" "27/10/2009" 14 204 "mus" "yes"
"215" "27/10/2009" 14 206 "mus" "yes"
"216" "27/10/2009" 14 207 "mus" "yes"
"217" "27/10/2009" 14 203 "mus" "yes"
"218" "27/10/2009" 14 195 "mus" "yes"
"219" "27/10/2009" 14 197 "mus" "yes"
"220" "27/10/2009" 14 159 "mus" "yes"
"221" "22/10/2009" 14 205 "mus" "yes"
"222" "22/10/2009" 14 202 "mus" "yes"
"223" "22/10/2009" 14 202 "mus" "yes"
"224" "22/10/2009" 14 207 "mus" "yes"
"225" "22/10/2009" 14 203 "mus" "yes"
"226" "22/10/2009" 14 201 "mus" "yes"
"227" "22/10/2009" 14 186 "mus" "yes"
"228" "22/10/2009" 14 189 "mus" "yes"
"229" "22/10/2009" 14 217 "mus" "yes"
"230" "22/10/2009" 14 219 "mus" "yes"
"231" "22/10/2009" 14 196 "mus" "yes"
"232" "22/10/2009" 14 194 "mus" "yes"
"233" "29/09/2009" 14 192 "mus" "yes"
"234" "29/09/2009" 14 194 "mus" "yes"
"235" "29/09/2009" 14 210 "mus" "yes"
"236" "29/09/2009" 14 212 "mus" "yes"
"237" "29/09/2009" 14 221 "mus" "yes"
"238" "29/09/2009" 14 224 "mus" "yes"
"239" "29/09/2009" 14 219 "mus" "yes"
"240" "29/09/2009" 14 222 "mus" "yes"
"241" "29/09/2009" 14 220 "mus" "yes"
"242" "29/09/2009" 14 225 "mus" "yes"
"243" "29/09/2009" 14 239 "mus" "yes"
"244" "29/09/2009" 14 242 "mus" "yes"
"245" "29/09/2009" 14 239 "mus" "yes"
"246" "29/09/2009" 14 230 "mus" "yes"
"247" "15/06/2011" 14.5 246 "mus" "yes"
"248" "15/06/2011" 14.5 247 "mus" "yes"
"249" "15/06/2011" 14.5 241 "mus" "yes"
"250" "15/06/2011" 14.5 249 "mus" "yes"
"251" "15/06/2011" 14.5 204 "mus" "yes"
"252" "15/06/2011" 14.5 199 "mus" "yes"
"253" "15/06/2011" 14.5 209 "mus" "yes"
"254" "15/06/2011" 14.5 252 "mus" "yes"
"255" "15/06/2011" 14.5 252 "mus" "yes"
"256" "15/06/2011" 14.5 188 "mus" "yes"
"257" "15/06/2011" 14.5 263 "mus" "yes"
"258" "15/06/2011" 14.5 265 "mus" "yes"
"259" "15/06/2011" 14.5 236 "mus" "yes"
"260" "15/06/2011" 14.5 228 "mus" "yes"
"261" "15/06/2011" 14.5 169 "mus" "yes"
"262" "15/06/2011" 14.5 219 "mus" "yes"
"263" "15/06/2011" 14.5 214 "mus" "yes"
"264" "03/12/2009" 14.5 304 "mus" "yes"
"265" "03/12/2009" 14.5 345 "mus" "yes"
"266" "03/12/2009" 14.5 377 "mus" "yes"
"267" "03/12/2009" 14.5 325 "mus" "yes"
"268" "03/12/2009" 14.5 328 "mus" "yes"
"269" "03/12/2009" 14.5 327 "mus" "yes"
"270" "03/12/2009" 14.5 354 "mus" "yes"
"271" "03/12/2009" 14.5 354 "mus" "yes"
"272" "03/12/2009" 14.5 356 "mus" "yes"
"273" "03/12/2009" 14.5 365 "mus" "yes"
"274" "07/10/2009" 14.5 264 "mus" "yes"
"275" "07/10/2009" 14.5 266 "mus" "yes"
"276" "07/10/2009" 14.5 262 "mus" "yes"
"277" "07/10/2009" 14.5 258 "mus" "yes"
"278" "07/10/2009" 14.5 257 "mus" "yes"
"279" "07/10/2009" 14.5 270 "mus" "yes"
"280" "07/10/2009" 14.5 274 "mus" "yes"
"281" "07/10/2009" 14.5 232 "mus" "yes"
"282" "07/10/2009" 14.5 234 "mus" "yes"
"283" "07/10/2009" 14.5 236 "mus" "yes"
"284" "07/10/2009" 14.5 283 "mus" "yes"
"285" "07/10/2009" 14.5 189 "mus" "yes"
"286" "07/10/2009" 14.5 243 "mus" "yes"
"287" "15/07/2009" 14.5 283 "mus" "yes"
"288" "15/07/2009" 14.5 288 "mus" "yes"
"289" "15/07/2009" 14.5 288 "mus" "yes"
"290" "15/07/2009" 14.5 280 "mus" "yes"
"291" "15/07/2009" 14.5 295 "mus" "yes"
"292" "15/07/2009" 14.5 320 "mus" "yes"
"293" "15/07/2009" 14.5 312 "mus" "yes"
"294" "15/07/2009" 14.5 245 "mus" "yes"
"295" "15/07/2009" 14.5 265 "mus" "yes"
"296" "15/07/2009" 14.5 263 "mus" "yes"
"297" "15/07/2009" 14.5 265 "mus" "yes"
"298" "30/06/2009" 14.5 266 "mus" "yes"
"299" "30/06/2009" 14.5 262 "mus" "yes"
"300" "30/06/2009" 14.5 272 "mus" "yes"
"301" "30/06/2009" 14.5 274 "mus" "yes"
"302" "30/06/2009" 14.5 247 "mus" "yes"
"303" "30/06/2009" 14.5 245 "mus" "yes"
"304" "30/06/2009" 14.5 240 "mus" "yes"
"305" "30/06/2009" 14.5 242 "mus" "yes"
"306" "30/06/2009" 14.5 235 "mus" "yes"
"307" "30/06/2009" 14.5 234 "mus" "yes"
"308" "30/06/2009" 14.5 258 "mus" "yes"
"309" "30/06/2009" 14.5 223 "mus" "yes"
"310" "30/06/2009" 14.5 220 "mus" "yes"
"311" "18/11/2010" 15 313 "mus" "yes"
"312" "18/11/2010" 15 308 "mus" "yes"
"313" "18/11/2010" 15 292 "mus" "yes"
"314" "18/11/2010" 15 298 "mus" "yes"
"315" "18/11/2010" 15 294 "mus" "yes"
"316" "18/11/2010" 15 287 "mus" "yes"
"317" "18/11/2010" 15 286 "mus" "yes"
"318" "18/11/2010" 15 279 "mus" "yes"
"319" "18/11/2010" 15 254 "mus" "yes"
"320" "18/11/2010" 15 262 "mus" "yes"
"321" "18/11/2010" 15 343 "mus" "yes"
"322" "18/11/2010" 15 351 "mus" "yes"
"323" "18/11/2010" 15 204 "mus" "yes"
"324" "18/11/2010" 15 328 "mus" "yes"
"325" "18/11/2010" 15 243 "mus" "yes"
"326" "15/10/2010" 15 322 "mus" "yes"
"327" "15/10/2010" 15 320 "mus" "yes"
"328" "15/10/2010" 15 325 "mus" "yes"
"329" "15/10/2010" 15 324 "mus" "yes"
"330" "15/10/2010" 15 342 "mus" "yes"
"331" "15/10/2010" 15 347 "mus" "yes"
"332" "15/10/2010" 15 345 "mus" "yes"
"333" "15/10/2010" 15 301 "mus" "yes"
"334" "15/10/2010" 15 300 "mus" "yes"
"335" "15/10/2010" 15 298 "mus" "yes"
