".smooth" ".type" ".by" "weight_lambda" ".estimate" ".se" ".crit" ".lower_ci" ".upper_ci" "fit" "lower1" "upper1" "weight" "stage"
"39" "s(weight_lambda)" "CRS" NA 3.33584578431495 -0.573455696693245 0.0205041942041556 1.95996398454005 -0.613643178865405 -0.533268214521085 14.6763055258474 14.6361180436752 14.7164930080195 286 14.5
"40" "s(weight_lambda)" "CRS" NA 3.33584578431495 -0.573455696693245 0.0205041942041556 1.95996398454005 -0.613643178865405 -0.533268214521085 14.6763055258474 14.6361180436752 14.7164930080195 286 14.5
"41" "s(weight_lambda)" "CRS" NA 3.35428937468398 -0.530406366187699 0.0205868353181986 1.95996398454005 -0.570755821967026 -0.490056910408373 14.7193548563529 14.6790054005736 14.7597043121322 293.5 14.5
"42" "s(weight_lambda)" "CRS" NA 3.35428937468398 -0.530406366187699 0.0205868353181986 1.95996398454005 -0.570755821967026 -0.490056910408373 14.7193548563529 14.6790054005736 14.7597043121322 293.5 14.5
"43" "s(weight_lambda)" "CRS" NA 3.36517817988218 -0.505547053693718 0.0207132389015446 1.95996398454005 -0.546144255943919 -0.464949851443517 14.7442141688469 14.7036169665967 14.7848113710971 298 14.5
"44" "s(weight_lambda)" "CRS" NA 3.37236570059048 -0.489361112472552 0.0208178057614874 1.95996398454005 -0.530163262002218 -0.448558962942886 14.7604001100681 14.7195979605384 14.8012022595977 301 14
"45" "s(weight_lambda)" "CRS" NA 3.38774732152 -0.455311651034999 0.0210684435398981 1.95996398454005 -0.496605041583515 -0.414018260486484 14.7944495715056 14.7531561809571 14.8357429620541 307.5 15
"46" "s(weight_lambda)" "CRS" NA 3.38774732152 -0.455311651034999 0.0210684435398981 1.95996398454005 -0.496605041583515 -0.414018260486484 14.7944495715056 14.7531561809571 14.8357429620541 307.5 15
"47" "s(weight_lambda)" "CRS" NA 3.39359523041661 -0.442574908568754 0.0211640147175175 1.95996398454005 -0.484055615183364 -0.401094201954144 14.8071863139719 14.7657056073572 14.8486670205865 310 15
"48" "s(weight_lambda)" "CRS" NA 3.39359523041661 -0.442574908568754 0.0211640147175175 1.95996398454005 -0.484055615183364 -0.401094201954144 14.8071863139719 14.7657056073572 14.8486670205865 310 15
