sample	tooth	stage	species	rep	timerel	stagenorm	Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10
ham_BCR_POSW	ham_mx_14_rep1	mx	14	ham	rep1	80	80	-79.2189425588685	33.8516998834981	-12.2351625985564	3.31833689509164	-11.0589231738629	-7.96504502194414	5.01916697071126	13.7246566112107	-0.258982264737085	3.43236539931471
ham_BGE_POSW	ham_mx_14_rep2	mx	14	ham	rep2	80	80	-84.9535189158399	18.6781314156581	-11.7750838336298	10.9989385816907	24.9724387728328	1.86090128972177	-19.6048407667653	11.5863748615603	-20.3979139506619	0.739457638999454
ham_BCR_ROSW	ham_mx_14.5_rep1	mx	14.5	ham	rep1	100	100	-79.2249922461521	54.4335966164661	-41.519770700585	-11.9415276047086	13.5108599924459	1.17808493670524	25.2321094247414	9.67268093019637	11.3848053262118	15.6301727999152
ham_BGE_ROSW	ham_mx_14.5_rep2	mx	14.5	ham	rep2	100	100	-82.1521160730017	48.115608620268	-19.6991277805002	20.7549388910577	12.9604861523191	0.348575724837152	12.1104029991326	19.5206147160263	7.41917779406189	8.66006962473693
mus_AXR_MAOSW	mus_md_14.5_rep1	md	14.5	mus	rep1	0	0	75.2048986035275	-53.8493605853621	-30.1196331779636	2.39943041018277	16.7118358020252	-38.2291597576443	17.0997205639399	-14.6383035454478	-25.3498234714422	6.76266223214028
mus_BGF_MAOSW	mus_md_14.5_rep2	md	14.5	mus	rep2	0	0	71.4315351975575	-40.7540709550482	7.93499082134819	59.4867974987634	-8.59492497547858	-9.30807755785615	33.613117153658	-8.13079898110332	-19.6179807970223	8.3820309962263
mus_AXR_MCOSW	mus_md_15_rep1	md	15	mus	rep1	14.2857142857143	14.2857142857143	81.317234624195	-43.8715399919662	-38.4458218654998	-8.57690715458333	12.1528901078251	-44.5994985801567	-6.28938284887242	-14.7673191920847	-1.68716900588158	12.0098985784008
mus_BGF_MCOSW	mus_md_15_rep2	md	15	mus	rep2	14.2857142857143	14.2857142857143	79.6471191311034	-34.3461964777642	-10.057773126452	48.6830763582685	-6.63733510569724	-22.6022380020331	-12.6051712275461	-2.68025765123887	17.644010622724	19.7284285037898
mus_AXR_MEOSW	mus_md_15.5_rep1	md	15.5	mus	rep1	28.5714285714286	28.5714285714286	84.2676402394551	-21.7096974371136	-23.4859685162496	-3.49111763246853	-23.6835761340205	-25.6759767002733	-9.83767960869589	-13.3224384217541	28.2330567154557	0.37471540930057
mus_BGF_MEOSW	mus_md_15.5_rep2	md	15.5	mus	rep2	28.5714285714286	28.5714285714286	80.9657642581712	-18.6703817206331	-13.2880588641259	39.1225521407142	10.7471314597088	-6.6693865944889	-25.7483324617395	-14.2839438853833	22.7819696074582	3.99357185774546
